feat1,feat2,feat3,feat4,feat5,feat6,label
6.480000496,0,11,77.23799896,293.4819946,7.002000332,0
6.419999599,0,11,77.27400208,293.4719849,7,0
6.400000095,0,11,77.28600311,293.4660034,7,0
6.400000095,0,11,77.28400421,293.4639893,7,0
6.400000095,0,11,77.29399872,293.4559937,6.997999668,0
6.400000095,0,11,77.30799866,293.460022,6.994000435,0
6.400000095,0,11,77.31199646,293.4519958,6.997999668,0
6.400000095,0,11,77.32600403,293.4419861,6.994000435,0
6.359999657,0,11,77.33599854,293.4459839,6.989999294,0
6.340000153,0,11,77.33399963,293.4419861,6.987999916,0
6.380000114,0,11,77.32800293,293.4379883,6.991999626,0
6.320000172,0,11,77.33200836,293.4400024,6.989999294,0
6.300000191,0,11,77.34999847,293.4359741,6.987999916,0
6.300000191,0,11,77.36399841,293.4299927,6.991999626,0
6.300000191,0,11,77.36600494,293.4259644,6.997999668,0
6.300000191,0,11,77.36600494,293.4259644,6.997999668,0
6.300000191,0,11,77.36600494,293.4259644,6.997999668,0
6.980000496,0,9,81.4940033,303.7919922,11.8579998,0
6.300000191,0,9,81.36199951,315.0299988,13.05199909,0
6.139999866,0,9,95.75999451,323.4140015,12.93800068,0